name,category,logo_url,statuses,countries,is_global,partner_url
3sPOS,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698d4e415c82498e266dea_3sPOS.webp,Live,United Kingdom|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Access POS,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6565967f5e7b3f872f55e131_Access%20logo%20(1).png,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Adloggs,Fulfilment,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68bead34929cd38472ff480c_Integration%20page%20icons%20(10).png,Live,India,False,https://www.urbanpiper.com/integrations
Agilysis,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aee74c811041cde5b9a5a_Untitled%20design%20(54).png,Upcoming,United States,False,https://www.urbanpiper.com/integrations
All POS,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1df8364de813fb952a39a_All%20POS%20logo.png,Live,India,False,https://www.urbanpiper.com/integrations
Amepos,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1df99a346f58469dd70bf_Ame%20POS%20logo.png,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
App4,Online Ordering,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfa81ddd92f846e4a0d2_App%204%20logo.png,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
BIMPOS,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfb7af4af49e1271442e_BimPOS%20logo.png,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
BestPOS/FnB 360,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697d5b6211500323148eb1_hostbooks-logo-fnb-360-65697977566d6.webp,Live,India,False,https://www.urbanpiper.com/integrations
Billberry,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697bccfc2f9ec21b03fea1_billberry-logo-65697983bacf8.webp,Live,India,False,https://www.urbanpiper.com/integrations
Bitsila,Online Ordering,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfcb46b73500e3027755_Bitsila%20black%20logo.png,Live,India,False,https://www.urbanpiper.com/integrations
Biz1Book,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1e3a46a77b0294146c201_Biz1book%20logo.png,Live,India,False,https://www.urbanpiper.com/integrations
Blue Lotus 360,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698ccf2594297eaf63413b_Blue%20Lotus-logo.webp,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Bravery Kitchen,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b3f559e1e0b3c1d71e6b4_bravery-kitchen.png,Live,India,False,https://www.urbanpiper.com/integrations
Bridge/Explorex,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dffc3e608620c3766f5a_Exploreex%20logo.png,Live,India,False,https://www.urbanpiper.com/integrations
CW Suite,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68b7ce76aa54a6d344217d5b_Integration%20page%20icons%20(8).png,Live,India|United States,False,https://www.urbanpiper.com/integrations
CaptainPad,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697cc9a8d446f6b8b73770_captainpad-logo-65697984617d9.webp,Live,India,False,https://www.urbanpiper.com/integrations
Careem,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66bb0e71cc0b0f0c1a635bcc_Careem_Wordmark_Careem_Green_CMYK.jpg,Live,Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Careem Box,Fulfilment,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65c1dfdf67437017e941e233_careembox%20logo.png,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Cari,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/663474a0ea5c77f33c6f56c5_Get%20cari%20logo.webp,Live,United Arab Emirates|Saudi Arabia|Kuwait,False,https://www.urbanpiper.com/integrations
ChatFood,Online Ordering,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656589cdcb806bac27083dd7_Chatfood-logo%20(1).webp,Live,United Arab Emirates|United Kingdom,False,https://www.urbanpiper.com/integrations
Chownow,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658b8502c9a3052f038eb6_Chownow-logo.svg%20(1).webp,Upcoming,United States,False,https://www.urbanpiper.com/integrations
Cibo,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656985a979ab2f7b6485c8ba_CIBO-logo.webp,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Ciferon,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656979e1aaa385bd5aeffd54_ciferon-logo-6569798504295.webp,Live,India,False,https://www.urbanpiper.com/integrations
Cowrks,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6664378429685d0e7e463666_COWRKS.webp,Upcoming,India,False,https://www.urbanpiper.com/integrations
Cyntra AI,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/679c85cb164f379f7f197eb7_cyntra-logo.png,Live,United States,False,https://www.urbanpiper.com/integrations
Cypheron POS,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697c65c092bd33d25e9641_cypheron-logo-656979859a463.webp,Live,India,False,https://www.urbanpiper.com/integrations
DCA,Online Ordering,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658ab15b55bff7eb0ff120_DCA-logo%20(1).webp,Live,India|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Datamate/Hotsoft Purple Key,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656981d2865499ea121d22e3_Datamate%20Logo.webp,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Deliveroo,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656588fb2e3a65322e454885_Deliveroo-Logo-_1_.webp,Live,United Kingdom|United Arab Emirates|Kuwait|Qatar,False,https://www.urbanpiper.com/integrations
Devourin,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697ae149c26cdb951d432d_devourin-logo-6569798634618.webp,Live,India,False,https://www.urbanpiper.com/integrations
Dgtera,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae25614fb83099a293e9f_Untitled%20design%20(49).png,Live,Bahrain|Egypt|Jordan|Kuwait|Oman|Qatar|Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Dididood,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a76a14a4689e5ab61b2cae_didi%20food-logo%20(1).webp,Upcoming,,False,https://www.urbanpiper.com/integrations
Digipos/Digitory,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697ab4f24ca81fd0bc0553_digipos-logo-65697986c45a8.webp,Live,India,False,https://www.urbanpiper.com/integrations
Digirestro/Concourse,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697abd14a6537423c43531_digirestro-logo-65697986cecdf.webp,Live,India,False,https://www.urbanpiper.com/integrations
Dineorder,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656987fff24ca81fd0c4d37a_Dineorder%20logo.webp,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Dineplan,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66338a6c8ef807882d428a93_Screenshot%202024-05-02%20at%206.10.26%E2%80%AFPM.webp,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Dinner Daddy,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae0cf41cee13fc55fca97_Untitled%20design%20(45).png,Live,United States,False,https://www.urbanpiper.com/integrations
Dino POS,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697ddcf13ef96def0e5534_dino-pos-logo-656979876b470.webp,Live,India,False,https://www.urbanpiper.com/integrations
Doordash,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65605d3223288923ebdf3f0b_Doordash%20logo%20(1).webp,Live,United States|Canada,False,https://www.urbanpiper.com/integrations
DotPe,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65644b1416d0ec6bd3fc7374_Dotpe_Logo%20(1).webp,Live,India,False,https://www.urbanpiper.com/integrations
Dunzo,Fulfilment,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658ea1eccdfd30681082bd_Dunzo%20logo%20(1).webp,Live,India,False,https://www.urbanpiper.com/integrations
E-retail,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697f51dfd51ffa36079e31_e-retail-logo-65697975b26e6.webp,Live,India,False,https://www.urbanpiper.com/integrations
EatStreet,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/69a165be72ab9bc140979b79_5ca25ca64e2ad.webp,Live,United States,False,https://www.urbanpiper.com/integrations
El Dahan Restaurants,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690aee14ca8cf24dae25127f_Untitled%20design%20(53).png,Upcoming,Bahrain|Egypt|Jordan|Kuwait|Oman|Qatar|Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Enqueue,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a1ceea38c912c6746c7b0_Enqueue%20logo.webp,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
Enstore,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697a7775665a89afb9997a_enstore-logo-656979747392c.webp,Live,India,False,https://www.urbanpiper.com/integrations
Epos Now,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651fb1622b40db8c32ac94fa_ePOSnow.png,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Eresto,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697dec7c62d0c2963c7114_eresto-logo-656979747f7ae.webp,Upcoming,India,False,https://www.urbanpiper.com/integrations
Flip Office,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697aa279ab2f7b647dddaa_flipoffice-logo-656979761e9ec.webp,Live,India,False,https://www.urbanpiper.com/integrations
Flipdish,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6565892c22740ac08bda9645_Flipdish-logo-_1_%20(1).webp,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Flipdish,Online Ordering,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6565892c22740ac08bda9645_Flipdish-logo-_1_%20(1).webp,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
Foaps,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656979c265ad93e188e26a5d_foaps-logo-6569797640e27.webp,Live,India,False,https://www.urbanpiper.com/integrations
Fodista,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae148ec147be6ab0f574c_Untitled%20design%20(46).png,Live,Bahrain|Egypt|Jordan|Kuwait|Oman|Qatar|Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Foodhub,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/68667bae3306f58268e379dd_FOODHUB.webp,Live,United States|United Kingdom|Australia|Ireland|Canada,False,https://www.urbanpiper.com/integrations
Foodics,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651faf036611ceb6556800ae_foodics.png,Live,United Arab Emirates|Saudi Arabia|Kuwait|Oman|Egypt|Jordan,False,https://www.urbanpiper.com/integrations
Foodzapp,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690da1626f395330a694be0e_Integration%20page%20icons%20(14).webp,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
ForkPOS,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae2126d665adc913d542f_Untitled%20design%20(48).png,Live,Bahrain|Egypt|Jordan|Kuwait|Oman|Qatar|Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Fusion Innovative,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b3e9e598513c4d3f3eac5_FusionPos-Logo-updated.png,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
G5POS,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656982ee47345f64d1a173a9_g5-pos.webp,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Geidea,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698c82e1f72fe4466c2b0f_Geidea-logo.webp,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
Gintaa,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/666438f3cf10e4a23886da9e_Gintaa.webp,Live,India,False,https://www.urbanpiper.com/integrations
Glovo,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65a768a236f4ece5373e0383_Glovo_logo.svg%20(1).webp,Live,Kenya,False,https://www.urbanpiper.com/integrations
GoFrugal,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6566e5c439927ba4ea56bba6_Gofrugal-logo-100.png,Live,India,False,https://www.urbanpiper.com/integrations
Grafterr/ePOS Hybrid,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/651fb13b9e2ae9f5c574a31e_Grafterr.png,Live,United Kingdom|India,False,https://www.urbanpiper.com/integrations
Grubhub,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/686cb98326e6df8dace2e8af_grubhub-logo.webp,Live,United States,False,https://www.urbanpiper.com/integrations
HungerStation,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658985e3e50a245e83de82_hungerstation-logo-_1_.webp,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
Hungerbox-POS,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697f3c243432e229d3fcf3_hungerbox-logo-6569797775be5.webp,Live,India,False,https://www.urbanpiper.com/integrations
HungryPanda,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65658911d72181129b64f455_HungryPanda-logo-_1_.webp,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
I-Dine/Innosolv,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6566de0b5c3a14c07b796d8c_I-Dine%20Logo-100.png,Live,India|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Instashop,,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6662b3b020db50d63b642f99_Instashop-logo.webp,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Isthara,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/662b40b46c6cfbca69649808_ishtara%20(1).svg,Live,India,False,https://www.urbanpiper.com/integrations
JPOS/Sanguine,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697b2179ab2f7b647e1acf_sanguine-jpos-logo-6569797e5c2a6.webp,Live,India,False,https://www.urbanpiper.com/integrations
Jahez,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656589b25b55bff7eb0f3fe4_Jahez-logo%20(1).webp,Live,Saudi Arabia|Kuwait,False,https://www.urbanpiper.com/integrations
Just Eat,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/655df765463edaf5ae7ca491_Just-Eat-Logo.png,Live,United Kingdom|Ireland,False,https://www.urbanpiper.com/integrations
Keeta,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/671a19ce0c9699b437d871d7_Keeta%20logo.webp,Live,Saudi Arabia|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Kuber POS,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690ae2f7d92ceadd36813e34_Untitled%20design%20(47).png,Live,United States|Canada,False,https://www.urbanpiper.com/integrations
Kurve,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698814dcd4aaffb405b0a7_Kurve_logo_logo.webp,Live,United Kingdom,False,https://www.urbanpiper.com/integrations
LS Retail,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/6569809c07cc429c9bb400e4_ls-retail.webp,Live,India|United Arab Emirates,False,https://www.urbanpiper.com/integrations
Lightspeed,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656989cd865499ea12227f5f_Lightspeed_logo.webp,Live,United Kingdom|United States,False,https://www.urbanpiper.com/integrations
LingaPOS,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698853c89b69f8cf6cbc35_Linga_Logo.webp,Upcoming,,False,https://www.urbanpiper.com/integrations
Loyverse,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656988316e8be82630c8d2c9_Loyverse_logo_logo.webp,Upcoming,,False,https://www.urbanpiper.com/integrations
Lucid,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65697a3d243432e229d11f1d_lucid-logo-6569797800b45.webp,Live,India|United Kingdom,False,https://www.urbanpiper.com/integrations
Masalabox,Online Ordering,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65644b8fb0669b030c71d7e8_Masala%20Box-logo%20(1).webp,Live,India,False,https://www.urbanpiper.com/integrations
Menew,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656979d0f24ca81fd0bb2ad5_menew-logo-656979787bfdd.webp,Live,India,False,https://www.urbanpiper.com/integrations
Micros Oracle Symphony Gen 1,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698884e1f72fe446699406_OracleMicros.webp,Live,,False,https://www.urbanpiper.com/integrations
Micros Oracle Symphony Gen 2,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/656829963887a9d47c192c45_OracleMicros-100.png,Live,United Arab Emirates,False,https://www.urbanpiper.com/integrations
Micros Oracle Symphony RES 3700,POS Systems,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/65698884e1f72fe446699406_OracleMicros.webp,Live,,False,https://www.urbanpiper.com/integrations
Mr Mandoob,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/690d9b76a8d771d4ba0c1172_Integration%20page%20icons%20(11).webp,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
Mrsool,Delivery platforms,https://cdn.prod.website-files.com/62aae3a2134cd27204efacc7/66c46f336f9796a8b95d1fdb_Screenshot%202024-08-20%20155429.webp,Live,Saudi Arabia,False,https://www.urbanpiper.com/integrations
